"Domain","Site Rank","Year online","Name","Media Bias/Fact Check","MBFC Fact","MBFC Bias","MisinfoMe","Wikipedia","Lang","URL","MBFC cred","",""
"azcatholictribune.com","30000000","2020","Catholic Tribune - Arizona","https://mediabiasfactcheck.com/catholic-tribune-arizona-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://azcatholictribune.com/","L","",""
"baldwintimes.com","30000000","2019","Baldwin Times","https://mediabiasfactcheck.com/baldwin-times/","M","FN","-0.4","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://baldwintimes.com/","L","",""
"baltimorecitywire.com","18702954","2018","Baltimore City Wire","https://mediabiasfactcheck.com/baltimore-city-wire-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://baltimorecitywire.com/","L","",""
"banned.video","27791","2019","Banned Video","https://mediabiasfactcheck.com/banned-video/","VL","CP","-0.9","","en","https://banned.video/","L","",""
"bannedbook.org","59640","2011","Forbidden News Network","https://mediabiasfactcheck.com/forbidden-news-network-bias-and-credibility/","M","FN","-0.6","","zh","https://bannedbook.org/","L","",""
"barenakedislam.com","403299","2008","Bare Naked Islam","https://mediabiasfactcheck.com/bare-naked-islam/","L","FN","-0.9","","en","https://barenakedislam.com/","L","",""
"basnews.com","174037","2011","Basnews Agency","https://mediabiasfactcheck.com/basnews-agency/","M","FN","0.0","","ku","https://www.basnews.com/","L","",""
"batonrougereporter.com","30000000","2019","Baton Rouge Reporter","https://mediabiasfactcheck.com/baton-rouge-reporter-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://batonrougereporter.com/","L","",""
"battlecreektimes.com","16576668","2019","Battle Creek Times","https://mediabiasfactcheck.com/battle-creek-times-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://battlecreektimes.com/","L","",""
"baystatenews.com","14623908","2019","Bay State News","https://mediabiasfactcheck.com/bay-state-news-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/California_State_University,_East_Bay","en","https://baystatenews.com/","L","",""
"bb4sp.com","30000000","2015","BB4SP","https://mediabiasfactcheck.com/bb4sp/","L","FN","-0.9","","en","https://bb4sp.com/","L","",""
"bdnews24.com","20304","2004","BDNews24","https://mediabiasfactcheck.com/bdnews24/","M","FN","0.2","https://en.wikipedia.org/wiki/Bdnews24.com","en","https://bdnews24.com/","L","",""
"beachbroadcastnews.com","898190","2021","Beach Broadcast","https://mediabiasfactcheck.com/beach-broadcast-news-bias/","VL","FN","","","en","https://www.beachbroadcastnews.com/","L","",""
"beantowntimes.com","16542340","2019","Bean Town Times","https://mediabiasfactcheck.com/bean-town-times-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://beantowntimes.com/","L","",""
"beckernews.com","196351","2020","Becker News","https://mediabiasfactcheck.com/becker-news/","L","FN","-1.0","https://en.wikipedia.org/wiki/Jason_Becker","en","https://beckernews.com/","L","",""
"beforeitsnews.com","21898","2007","Before It's News","https://mediabiasfactcheck.com/before-its-news/","L","FN","-0.8","https://en.wikipedia.org/wiki/List_of_fake_news_websites","en","https://beforeitsnews.com/","L","",""
"beholdisrael.org","215979","2013","Behold Israel","https://mediabiasfactcheck.com/behold-israel/","M","CP","0.0","","en","https://beholdisrael.org/","L","",""
"bentontimes.com","30000000","2019","Benton Times","https://mediabiasfactcheck.com/benton-times/","M","FN","-0.4","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://bentontimes.com/","L","",""
"bestnewshere.com","76145","2018","Best News Here","https://mediabiasfactcheck.com/best-news-here/","VL","CP","-1.0","","en","https://bestnewshere.com/","L","",""
